date,description,keywords,title,url
2019-07-01,Ex-London mayor says knife crime must be tackled as he continues Tory leadership bid,"Conservative leadership,Boris Johnson,Stop and search,Knife crime,Jeremy Hunt,Conservatives,Crime,Politics,UK news,Conservative leadership,Boris Johnson,Stop and search,Knife crime,Jeremy Hunt,Conservatives,Crime,Politics,UK news",Boris Johnson pledges to increase stop and search powers | Politics | The Guardian,http://www.theguardian.com/politics/2019/jul/01/boris-johnson-pledges-to-increase-stop-and-search-powers
2019-07-01,Shadow minister criticises ‘undemocratic intervention based on a falsehood’,"Civil service,Jeremy Corbyn,Labour,Politics,UK news,Civil service,Jeremy Corbyn,Labour,Politics,UK news",Corbyn 'frailty' row: No 10 hints at inquiry into civil service leak claim | Politics | The Guardian,http://www.theguardian.com/politics/2019/jul/01/corbyn-frailty-row-no-10-hints-at-inquiry-into-civil-service-leak-claim-
2019-05-02,Factors including birth weight could determine likelihood of child becoming obese aged 10,"Obesity,Children,Society,Health,Netherlands,World news,Scotland,UK news,Obesity,Children,Society,Health,Netherlands,World news,Scotland,UK news","Risk of obesity can be accurately predicted in babies, study finds | Society | The Guardian",http://www.theguardian.com/society/2019/may/02/obesity-risk-predict-babies-children-study-researchers
2019-06-01,"In an exclusive extract from gal-dem’s new book, three twentysomethings revisit their diaries and reflect on identity, sexuality and cultural heritage","Young people,Family,Race,Life and style,Society,Young people,Family,Race,Life and style,Society",'Don’t pretend to be something you’re not': a letter to my teenage self | Society | The Guardian,http://www.theguardian.com/society/2019/jun/01/a-letter-to-my-teenage-self-gal-dem
2019-06-01,"Two decades of public health improvements have stalled, says IPPR thinktank","Health policy,Public services policy,Politics,Health,Society,Austerity,Economics,Business,UK news,Health policy,Public services policy,Politics,Health,Society,Austerity,Economics,Business,UK news","Austerity to blame for 130,000 ‘preventable’ UK deaths – report | Politics | The Guardian",http://www.theguardian.com/politics/2019/jun/01/perfect-storm-austerity-behind-130000-deaths-uk-ippr-report
2019-07-01,"Rolling coverage of the day’s political developments as they happen, including the latest from the Tory leadership contest","Politics,UK news,Conservative leadership,Conservatives,Boris Johnson,Jeremy Hunt,Brexit,Matt Hancock,Institute for Fiscal Studies,John Bercow,House of Commons,Scotland,Scottish politics,Scottish National party (SNP),John McDonnell,Politics,UK news,Conservative leadership,Conservatives,Boris Johnson,Jeremy Hunt,Brexit,Matt Hancock,Institute for Fiscal Studies,John Bercow",Hunt says Merkel is willing to look at a new Brexit deal package – as it happened | Politics | The Guardian,http://www.theguardian.com/politics/live/2019/jul/01/tory-leadership-latest-news-boris-johnson-hunt-proposes-6bn-no-deal-bail-out-for-farmers-and-fishing-industry-live-news
2019-06-01,"Survey by Opinium suggests Nigel Farage would be 20 seats short of a majority, with Conservatives reduced to 26 MPs","Brexit party,Politics,Conservatives,Labour,Liberal Democrats,Opinion polls,UK news,Brexit party,Politics,Conservatives,Labour,Liberal Democrats,Opinion polls,UK news",Brexit party tops Westminster election poll for first time | Politics | The Guardian,http://www.theguardian.com/politics/2019/jun/01/brexit-party-nigel-farage-lead-opinion-poll-conservatives-opinium
2019-06-01,"Remain backer blames ‘orchestrated, destructive campaign from outside party’","Conservatives,Brexit,Local politics,Politics,UK news,Conservatives,Brexit,Local politics,Politics,UK news",Conservative MP Phillip Lee loses vote of no confidence | Politics | The Guardian,http://www.theguardian.com/politics/2019/jun/01/remain-conservative-mp-phillip-lee-loses-vote-of-no-confidence-local-association
2019-06-01,Combining ribociclib with hormone therapy found to cut risk of death by up to a third,"Breast cancer,Medical research,Drugs,Health,Society,NHS,Science,UK news,World news,Cancer,Breast cancer,Medical research,Drugs,Health,Society,NHS,Science,UK news,World news,Cancer",New breast cancer treatment offers hope of longer life to younger women | Society | The Guardian,http://www.theguardian.com/society/2019/jun/01/new-breast-cancer-treatment-offers-longer-life-to-younger-women-ribociclib
2019-06-01,"The Labour leader has surrounded himself with advisers with a toxic agenda, argues the former home secretary","Labour,Jeremy Corbyn,Brexit,Antisemitism,Len McCluskey,Momentum,Politics,UK news,Labour,Jeremy Corbyn,Brexit,Antisemitism,Len McCluskey,Momentum,Politics,UK news",Corbyn won’t listen to the many and heeds only the few | David Blunkett | Politics | The Guardian,http://www.theguardian.com/politics/2019/jun/01/jeremy-corbyn-wont-listen-to-the-many-heeds-only-the-few
